City,URL
Aberdeen,http://feeds.airnowapi.org/rss/realtime/271.xml
Anacortes,http://feeds.airnowapi.org/rss/realtime/624.xml
Bellingham,http://feeds.airnowapi.org/rss/realtime/321.xml
Bremerton-Silverdale-Bainbridge Island,http://feeds.airnowapi.org/rss/realtime/15.xml
Cascade foothills of King County,http://feeds.airnowapi.org/rss/realtime/777.xml
Cascade foothills of east King-Pierce counties,http://feeds.airnowapi.org/rss/realtime/341.xml
Cheeka Peak,http://feeds.airnowapi.org/rss/realtime/740.xml
Chehalis,http://feeds.airnowapi.org/rss/realtime/503.xml
Chelan,http://feeds.airnowapi.org/rss/realtime/622.xml
Clarkston,http://feeds.airnowapi.org/rss/realtime/606.xml
Colville,http://feeds.airnowapi.org/rss/realtime/607.xml
Confederated Tribes and Bands of Yakama Nations,http://feeds.airnowapi.org/rss/realtime/641.xml
Custer,http://feeds.airnowapi.org/rss/realtime/1158.xml
Darrington,http://feeds.airnowapi.org/rss/realtime/340.xml
Dayton,http://feeds.airnowapi.org/rss/realtime/1161.xml
Ellensburg,http://feeds.airnowapi.org/rss/realtime/611.xml
Everett-Marysville-Lynnwood,http://feeds.airnowapi.org/rss/realtime/41.xml
Kennewick,http://feeds.airnowapi.org/rss/realtime/631.xml
Lacrosse,http://feeds.airnowapi.org/rss/realtime/1162.xml
Leavenworth,http://feeds.airnowapi.org/rss/realtime/615.xml
Longview,http://feeds.airnowapi.org/rss/realtime/619.xml
Makah Indian Tribe of Makah Indian Reservation,http://feeds.airnowapi.org/rss/realtime/638.xml
Maple Falls,http://feeds.airnowapi.org/rss/realtime/909.xml
Mattawa,http://feeds.airnowapi.org/rss/realtime/1298.xml
Mesa,http://feeds.airnowapi.org/rss/realtime/1163.xml
Moses Lake,http://feeds.airnowapi.org/rss/realtime/608.xml
Mount Vernon,http://feeds.airnowapi.org/rss/realtime/322.xml
Mt. Rainier,http://feeds.airnowapi.org/rss/realtime/486.xml
Nespelem,http://feeds.airnowapi.org/rss/realtime/741.xml
Newport,http://feeds.airnowapi.org/rss/realtime/1305.xml
Oak Harbor,http://feeds.airnowapi.org/rss/realtime/323.xml
Olympia-Lacey-Tumwater,http://feeds.airnowapi.org/rss/realtime/167.xml
Omak,http://feeds.airnowapi.org/rss/realtime/635.xml
Pomeroy,http://feeds.airnowapi.org/rss/realtime/1177.xml
Port Angeles,http://feeds.airnowapi.org/rss/realtime/270.xml
Port Townsend,http://feeds.airnowapi.org/rss/realtime/272.xml
Pullman,http://feeds.airnowapi.org/rss/realtime/612.xml
Quincy,http://feeds.airnowapi.org/rss/realtime/1176.xml
Raymond,http://feeds.airnowapi.org/rss/realtime/490.xml
Ritzville,http://feeds.airnowapi.org/rss/realtime/1164.xml
Rosalia,http://feeds.airnowapi.org/rss/realtime/1165.xml
Seattle-Bellevue-Kent Valley,http://feeds.airnowapi.org/rss/realtime/137.xml
Shelton,http://feeds.airnowapi.org/rss/realtime/273.xml
Spokane,http://feeds.airnowapi.org/rss/realtime/275.xml
Spokane Tribe of Spokane Reservation,http://feeds.airnowapi.org/rss/realtime/636.xml
Sunnyside,http://feeds.airnowapi.org/rss/realtime/814.xml
Tacoma-Puyallup,http://feeds.airnowapi.org/rss/realtime/148.xml
Taholah,http://feeds.airnowapi.org/rss/realtime/1166.xml
Twisp,http://feeds.airnowapi.org/rss/realtime/613.xml
Vancouver,http://feeds.airnowapi.org/rss/realtime/617.xml
Walla Walla,http://feeds.airnowapi.org/rss/realtime/609.xml
Wenatchee,http://feeds.airnowapi.org/rss/realtime/610.xml
Winthrop,http://feeds.airnowapi.org/rss/realtime/614.xml
Yacolt,http://feeds.airnowapi.org/rss/realtime/618.xml
Yakima,http://feeds.airnowapi.org/rss/realtime/542.xml
